team_id,calendar_week,week_index,adoption_week,treated,team_size,baseline_complexity,baseline_junior_mix,manager_quality,role,merged_prs,completed_tickets,role_output
T001,2026-01-05,1,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,6,14,20
T001,2026-01-05,1,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,4,8,12
T001,2026-01-12,2,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,4,6,10
T001,2026-01-12,2,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,4,5,9
T001,2026-01-19,3,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,6,10,16
T001,2026-01-19,3,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,9,4,13
T001,2026-01-26,4,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,8,9,17
T001,2026-01-26,4,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,6,5,11
T001,2026-02-02,5,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,4,10,14
T001,2026-02-02,5,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,5,7,12
T001,2026-02-09,6,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,6,6,12
T001,2026-02-09,6,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,3,9,12
T001,2026-02-16,7,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,3,5,8
T001,2026-02-16,7,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,5,4,9
T001,2026-02-23,8,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,6,10,16
T001,2026-02-23,8,9.0,0,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,7,4,11
T001,2026-03-02,9,9.0,1,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,6,11,17
T001,2026-03-02,9,9.0,1,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,5,10,15
T001,2026-03-09,10,9.0,1,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,junior,3,6,9
T001,2026-03-09,10,9.0,1,4,0.5464418015737909,0.44294363229406614,0.6732743756991183,senior,3,8,11
