team_id,calendar_week,week_index,total_merged_prs,total_completed_tickets,total_commits,merge_count,median_cycle_time_hours,review_latency_hours,post_merge_bug_proxy,ai_signal_events,ai_eligible_events,observed_events,junior_merged_prs,junior_commits,junior_completed_tickets,total_output,junior_output,junior_merged_pr_share,junior_ticket_share,junior_commit_share,junior_output_share,ai_intensity,adoption_week,treated,post_period,event_time,analysis_sample
continue-revolution/continue,2025-01-27,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,,0,0,,0
continue-revolution/continue,2025-02-03,2,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,,0,0,,0
continue-revolution/continue,2025-02-10,3,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,,0,0,,0
continue-revolution/continue,2025-02-17,4,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,,0,0,,0
django/django,2025-01-27,1,0,0,0,0,,,0.0,0,0,1,0,0,0,0,0,,,,,0.0,,0,0,,0
django/django,2025-02-03,2,0,0,0,0,,,0.0,0,1,3,0,0,0,0,0,,,,,0.0,,0,0,,0
django/django,2025-02-10,3,0,0,0,0,,308.2,0.0,0,6,8,0,0,0,0,0,,,,,0.0,,0,0,,0
django/django,2025-02-17,4,0,0,0,0,,292.3230555555556,0.0,0,7,9,0,0,0,0,0,,,,,0.0,,0,0,,0
kubernetes/kubernetes,2025-01-27,1,0,0,0,0,,2094.02,0.0,0,24,24,0,0,0,0,0,,,,,0.0,,0,0,,0
kubernetes/kubernetes,2025-02-03,2,4,1,9,4,157.26305555555555,378.3861111111111,0.0,0,58,61,4,9,1,5,5,1.0,1.0,1.0,1.0,0.0,,0,0,,1
kubernetes/kubernetes,2025-02-10,3,0,0,0,0,,179.97027777777777,0.0,0,30,35,0,0,0,0,0,,,,,0.0,,0,0,,0
kubernetes/kubernetes,2025-02-17,4,1,1,2,1,1641.891111111111,289.08805555555557,0.0,0,82,86,1,2,1,2,2,1.0,1.0,1.0,1.0,0.0,,0,0,,1
langchain-ai/langchain,2025-01-27,1,1,0,1,1,50.79611111111111,50.79472222222222,0.0,0,4,9,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
langchain-ai/langchain,2025-02-03,2,0,0,0,0,,167.6861111111111,0.0,0,9,21,0,0,0,0,0,,,,,0.0,,0,0,,0
langchain-ai/langchain,2025-02-10,3,0,0,0,0,,6.585555555555556,0.0,0,6,25,0,0,0,0,0,,,,,0.0,,0,0,,0
langchain-ai/langchain,2025-02-17,4,0,0,0,0,,,0.0,0,3,9,0,0,0,0,0,,,,,0.0,,0,0,,0
microsoft/vscode,2025-01-27,1,0,0,0,0,,192.60444444444443,0.0,0,9,12,0,0,0,0,0,,,,,0.0,,0,0,,0
microsoft/vscode,2025-02-03,2,4,10,36,4,0.47833333333333333,1.0395833333333333,0.0,0,75,99,4,36,10,14,14,1.0,1.0,1.0,1.0,0.0,,0,0,,1
microsoft/vscode,2025-02-10,3,2,5,14,2,0.42041666666666666,0.23319444444444445,0.0,0,55,68,2,14,5,7,7,1.0,1.0,1.0,1.0,0.0,,0,0,,1
microsoft/vscode,2025-02-17,4,3,2,12,3,0.4702777777777778,0.38861111111111113,0.0,0,48,60,1,10,1,5,2,0.3333333333333333,0.5,0.8333333333333334,0.4,0.0,,0,0,,1
open-webui/open-webui,2025-01-27,1,0,0,0,0,,,0.0,0,0,44,0,0,0,0,0,,,,,0.0,,0,0,,0
open-webui/open-webui,2025-02-03,2,0,1,4,0,,,0.0,0,12,97,0,4,1,1,1,,1.0,1.0,1.0,0.0,,0,0,,1
open-webui/open-webui,2025-02-10,3,0,3,3,0,,,0.0,0,22,81,0,3,3,3,3,,1.0,1.0,1.0,0.0,,0,0,,1
open-webui/open-webui,2025-02-17,4,0,0,3,0,,74.99361111111111,0.0,0,6,39,0,3,0,0,0,,,1.0,,0.0,,0,0,,0
