team_id,calendar_week,week_index,total_merged_prs,total_completed_tickets,total_commits,merge_count,median_cycle_time_hours,review_latency_hours,post_merge_bug_proxy,ai_signal_events,ai_eligible_events,observed_events,junior_merged_prs,junior_commits,junior_completed_tickets,total_output,junior_output,junior_merged_pr_share,junior_ticket_share,junior_commit_share,junior_output_share,ai_intensity,adoption_week,treated,post_period,event_time,analysis_sample
ansible/ansible,2023-10-30,1,1,0,1,1,0.19,,0.0,0,6,6,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2023-11-06,2,0,0,0,0,,,0.0,0,4,5,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-11-13,3,0,0,0,0,,,0.0,0,1,6,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-11-20,4,0,0,0,0,,2333.605,0.0,0,2,2,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-11-27,5,0,0,0,0,,,0.0,0,1,3,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-12-04,6,0,0,0,0,,,1.0,0,4,6,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-12-11,7,0,0,0,0,,,0.0,0,0,6,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-12-18,8,0,0,0,0,,,0.0,0,1,7,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2023-12-25,9,0,0,0,0,,,0.0,0,0,1,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-01-01,10,1,0,1,1,0.1675,,0.0,0,6,11,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-01-08,11,0,0,0,0,,475.79055555555556,0.0,0,4,7,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-01-15,12,0,0,0,0,,,0.0,0,0,2,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-01-22,13,0,0,0,0,,,0.0,0,1,5,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-01-29,14,0,0,0,0,,3.147222222222222,0.0,0,1,3,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-02-05,15,0,0,0,0,,315.46625,1.0,0,7,13,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-02-12,16,0,0,0,0,,,0.0,0,2,4,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-02-19,17,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-02-26,18,0,0,0,0,,,0.0,0,0,2,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-03-04,19,0,0,0,0,,,0.0,0,1,5,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-03-11,20,1,1,1,1,,,0.0,0,4,7,1,1,1,2,2,1.0,1.0,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-03-18,21,1,0,1,1,2788.9616666666666,,0.0,0,7,10,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-03-25,22,0,0,0,0,,,0.0,0,2,5,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-04-01,23,0,0,0,0,,,0.0,0,1,4,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-04-08,24,0,0,0,0,,,0.0,0,6,8,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-04-15,25,1,0,1,1,1.5061111111111112,56.52444444444444,0.0,0,11,14,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-04-22,26,0,0,0,0,,,0.0,0,8,12,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-04-29,27,1,0,1,1,167.31722222222223,,0.0,0,8,10,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-05-06,28,0,0,0,0,,,0.0,0,3,6,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-05-13,29,0,0,0,0,,,0.0,0,2,4,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-05-20,30,0,0,0,0,,,0.0,0,2,4,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-05-27,31,0,0,0,0,,,0.0,0,1,1,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-06-03,32,9,1,9,9,30.7525,,0.1111111111111111,0,26,27,9,9,1,10,10,1.0,1.0,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-06-10,33,1,0,1,1,0.1275,627.7755555555556,2.0,0,11,12,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-06-17,34,0,0,0,0,,,0.0,0,1,3,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-06-24,35,0,0,0,0,,,0.0,0,1,2,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-07-01,36,0,0,0,0,,,0.0,0,0,3,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-07-08,37,1,0,1,1,0.28583333333333333,,0.0,0,5,7,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-07-15,38,0,0,0,0,,,0.0,0,1,3,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-07-22,39,0,0,0,0,,91.02277777777778,0.0,0,7,9,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-07-29,40,2,0,2,2,90.77958333333333,,0.0,0,4,6,2,2,0,2,2,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-08-05,41,0,0,0,0,,,1.0,0,4,6,0,0,0,0,0,,,,,0.0,,0,0,,0
ansible/ansible,2024-08-12,42,1,0,1,1,1.9608333333333334,197.00305555555556,0.0,0,9,9,1,1,0,1,1,1.0,,1.0,1.0,0.0,,0,0,,1
ansible/ansible,2024-08-19,43,0,0,0,0,,,0.0,0,0,2,0,0,0,0,0,,,,,0.0,,0,0,,0
