metric,value
panel_start_date,2023-10-30
panel_end_date,2025-04-28
panel_weeks,79
panel_months_approx,18.18
panel_rows,1580
panel_teams,20
fetch_hours_requested,547
fetch_hours_successful,547
fetch_hours_failed,0
fetch_events_scanned,65640000
fetch_events_repo_matched,98139
compare_old_panel_weeks,18
compare_old_panel_rows,360
compare_old_panel_teams,20
delta_weeks_new_minus_old,61
delta_rows_new_minus_old,1220
delta_months_new_minus_old_approx,14.04
delta_fetch_hours_requested_new_minus_old,427
delta_fetch_hours_successful_new_minus_old,427
delta_fetch_hours_failed_new_minus_old,0
delta_fetch_events_scanned_new_minus_old,51240000
delta_fetch_events_repo_matched_new_minus_old,76469
