proxy,method,coef,se,pvalue,ci_low_95,ci_high_95,pretrend_joint_pvalue,placebo_coef,placebo_pvalue,nobs,n_teams,n_weeks,switchers,timing_dispersion_sd,note,n_team_weeks,n_teams_proxy,n_weeks_proxy,switchers_proxy,treated_share,adopter_teams,never_adopter_teams,adoption_timing_dispersion_sd
strict,twfe,-0.011637790850444724,0.05995424343792437,0.8460888027969344,-0.12914594870912335,0.1058703670082339,,0.017959836552363963,0.7611809127564177,780,18,79,8,17.90165176184782,baseline_twfe_clustered_team,780,18,79,8,0.47692307692307695,9,9,17.90165176184782
strict,event_study,0.2689183368900187,0.1235222375075614,0.029474270440494887,0.02681475137519837,0.511021922404839,1.1308516722597285e-52,0.22448043469283008,1.1308516722597285e-52,465,9,79,8,17.90165176184782,coef_is_average_post_event_time_effect; placebo_is_average_lead,780,18,79,8,0.47692307692307695,9,9,17.90165176184782
strict,stacked_did,0.025708084760839203,0.18495176671076566,0.8894510497504462,-0.3367907168693156,0.388206886390994,,-0.5805629998853425,0.18702868226688785,199,9,49,8,17.90165176184782,stacked_by_adoption_cohort_with_not_yet_treated_and_never_controls; stacks=7,780,18,79,8,0.47692307692307695,9,9,17.90165176184782
strict,reweighted_did,-0.011398113838839239,0.0650726136250097,0.8609539760930455,-0.13893809292374865,0.11614186524607018,,0.016038023022048643,0.8027361569347422,780,18,79,8,17.90165176184782,ipw_glm_regularized_fallback; proxy_for_matched_did_via_team_level_ipw,780,18,79,8,0.47692307692307695,9,9,17.90165176184782
balanced,twfe,-0.1488333108661783,0.10776811291915214,0.16726313536134585,-0.3600549308695622,0.06238830913720561,,-0.05003844265673651,0.4878979923309822,780,18,79,9,9.373780912472903,baseline_twfe_clustered_team,780,18,79,9,0.6961538461538461,11,7,9.373780912472903
balanced,event_study,-0.3263269692246229,0.13941458703120907,0.01924790530327458,-0.5995795598057927,-0.0530743786434531,0.15955280253732707,-0.15598717700539988,0.15955280253732707,599,11,79,9,9.373780912472903,coef_is_average_post_event_time_effect; placebo_is_average_lead,780,18,79,9,0.6961538461538461,11,7,9.373780912472903
balanced,stacked_did,-0.15802075932922768,0.03930421691666078,5.808632184331564e-05,-0.23505560892643274,-0.08098590973202263,,0.14319594639972594,0.4164190739727883,165,9,29,9,9.373780912472903,stacked_by_adoption_cohort_with_not_yet_treated_and_never_controls; stacks=5,780,18,79,9,0.6961538461538461,11,7,9.373780912472903
balanced,reweighted_did,-0.1467083731836827,0.10690227367219526,0.16995148638172575,-0.35623297944662985,0.06281623307926443,,-0.050160972435533045,0.48828117286330963,780,18,79,9,9.373780912472903,ipw_glm_regularized_fallback; proxy_for_matched_did_via_team_level_ipw,780,18,79,9,0.6961538461538461,11,7,9.373780912472903
broad,twfe,-0.2374907749407616,0.07772642859222764,0.002247080416600334,-0.38983177562845206,-0.08514977425307113,,-0.12285962908829051,0.16676060773927537,780,18,79,13,24.163514490362356,baseline_twfe_clustered_team,780,18,79,13,0.8423076923076923,17,1,24.163514490362356
broad,event_study,-0.10273279122532786,0.12220318008987609,0.4005317134830382,-0.342251024201485,0.13678544175082927,0.0038992256455864806,0.08159832039184257,0.0038992256455864806,775,17,79,13,24.163514490362356,coef_is_average_post_event_time_effect; placebo_is_average_lead,780,18,79,13,0.8423076923076923,17,1,24.163514490362356
broad,stacked_did,-0.1241425825917821,0.06081854827067828,0.04123134076128335,-0.2433447467943223,-0.004940418389241891,,0.11710264805259005,0.38619997151031493,356,14,53,13,24.163514490362356,stacked_by_adoption_cohort_with_not_yet_treated_and_never_controls; stacks=9,780,18,79,13,0.8423076923076923,17,1,24.163514490362356
broad,reweighted_did,-0.23742202954964475,0.07668667609189125,0.001961496681839917,-0.38772515278384045,-0.08711890631544908,,-0.12624054220237854,0.1545712589548026,780,18,79,13,24.163514490362356,ipw_glm_regularized_fallback; proxy_for_matched_did_via_team_level_ipw,780,18,79,13,0.8423076923076923,17,1,24.163514490362356
